               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.023078,             0.01664,           0.0012997,             0.88569,             0.80294,             0.83939,             0.54809,            0.017173,            0.010593,           0.0006619,           0.0058915,           0.0058915,           0.0058915
                  85,            0.023375,            0.016778,           0.0010302,             0.77683,             0.88301,             0.88066,             0.56314,            0.017126,            0.010533,          0.00064761,            0.005842,            0.005842,            0.005842
                  86,            0.023606,             0.01703,          0.00085557,             0.77527,             0.67885,             0.75524,             0.52114,            0.017032,            0.010425,          0.00050677,           0.0057925,           0.0057925,           0.0057925
                  87,            0.023228,            0.016529,          0.00095011,             0.78454,             0.70742,             0.79277,             0.50694,            0.016909,             0.01082,          0.00054321,            0.005743,            0.005743,            0.005743
                  88,            0.022458,            0.016416,          0.00077058,             0.81435,             0.71067,             0.76671,             0.51297,            0.016716,            0.010671,          0.00053019,           0.0056935,           0.0056935,           0.0056935
                  89,            0.022489,            0.016553,          0.00071809,             0.83689,             0.70202,             0.80738,             0.53868,            0.016766,            0.010506,          0.00048147,            0.005644,            0.005644,            0.005644
                  90,            0.023018,            0.016583,           0.0011534,             0.77165,             0.69279,             0.79597,             0.53914,            0.016852,            0.010579,          0.00045561,           0.0055945,           0.0055945,           0.0055945
                  91,            0.022359,             0.01654,           0.0009417,             0.90006,             0.76711,             0.85087,             0.55643,            0.016459,             0.01051,          0.00053246,            0.005545,            0.005545,            0.005545
                  92,            0.022177,            0.016776,          0.00082598,             0.87973,             0.75357,             0.84698,             0.57683,            0.016774,            0.010456,           0.0012635,           0.0054955,           0.0054955,           0.0054955
                  93,            0.021558,            0.015887,          0.00067445,             0.78239,             0.75517,             0.80182,             0.54647,            0.016902,            0.010692,          0.00048486,            0.005446,            0.005446,            0.005446
                  94,            0.022281,            0.016745,          0.00056572,             0.71152,             0.69309,             0.79423,             0.51506,            0.017088,            0.010687,          0.00044922,           0.0053965,           0.0053965,           0.0053965
                  95,            0.021844,            0.016225,          0.00061277,             0.68971,             0.70177,             0.81098,             0.56511,            0.016693,            0.010666,           0.0003843,            0.005347,            0.005347,            0.005347
                  96,            0.022961,            0.016287,          0.00092354,             0.85603,             0.76649,             0.84913,             0.51184,            0.017319,            0.010811,            0.000451,           0.0052975,           0.0052975,           0.0052975
                  97,            0.022245,            0.015952,          0.00071941,             0.81782,             0.79435,             0.81615,              0.5206,            0.017326,            0.010784,          0.00034074,            0.005248,            0.005248,            0.005248
                  98,            0.022401,            0.015586,          0.00058666,             0.91181,             0.76136,             0.85749,              0.5294,             0.01675,            0.010233,          0.00028414,           0.0051985,           0.0051985,           0.0051985
                  99,            0.022462,            0.016217,          0.00059933,             0.85894,             0.66629,             0.81248,             0.52817,            0.016693,            0.010671,          0.00040407,            0.005149,            0.005149,            0.005149
                 100,            0.021893,            0.015948,          0.00094774,             0.74118,             0.80448,             0.81479,             0.52655,            0.016787,            0.010679,           0.0009125,           0.0050995,           0.0050995,           0.0050995
                 101,            0.021865,            0.015782,           0.0008313,             0.76539,             0.82265,             0.82069,             0.55823,            0.016843,            0.010481,          0.00029804,             0.00505,             0.00505,             0.00505
                 102,            0.021314,            0.015413,            0.001066,             0.81837,             0.67176,             0.77622,             0.52366,            0.016509,            0.010724,          0.00034994,           0.0050005,           0.0050005,           0.0050005
                 103,            0.020982,            0.015493,          0.00062328,             0.80544,             0.66879,             0.77737,             0.53946,            0.016497,            0.010876,           0.0003807,            0.004951,            0.004951,            0.004951
                 104,            0.021444,            0.015916,          0.00064015,             0.84183,              0.6991,             0.79066,             0.54493,            0.016367,            0.010841,          0.00027131,           0.0049015,           0.0049015,           0.0049015
                 105,            0.020853,            0.015785,          0.00068792,             0.77547,              0.8801,             0.88426,             0.56386,             0.01648,             0.01082,          0.00033021,            0.004852,            0.004852,            0.004852
                 106,            0.021943,            0.015972,          0.00070829,             0.81315,             0.88707,             0.88429,             0.53521,            0.016548,             0.01055,           0.0006232,           0.0048025,           0.0048025,           0.0048025
                 107,            0.021192,            0.016112,          0.00043941,             0.87537,              0.8902,             0.92375,             0.56667,            0.015881,            0.010662,          0.00036214,            0.004753,            0.004753,            0.004753
                 108,            0.021761,            0.014984,          0.00053053,              0.8335,             0.65338,             0.78063,             0.54019,            0.016617,            0.010974,          0.00044657,           0.0047035,           0.0047035,           0.0047035
                 109,            0.021939,            0.015414,          0.00070468,             0.85535,             0.72686,             0.88045,             0.51905,            0.017303,            0.010942,          0.00038728,            0.004654,            0.004654,            0.004654
                 110,            0.021078,             0.01545,          0.00096625,             0.77569,             0.64329,              0.7532,             0.50959,            0.016983,            0.011017,           0.0005628,           0.0046045,           0.0046045,           0.0046045
                 111,             0.02049,            0.015726,          0.00069637,               0.758,             0.70255,             0.81249,             0.55108,            0.016742,            0.010744,          0.00032059,            0.004555,            0.004555,            0.004555
                 112,            0.021645,            0.015863,          0.00054462,             0.82509,             0.77072,             0.83256,             0.54177,            0.016954,            0.011118,           0.0004108,           0.0045055,           0.0045055,           0.0045055
                 113,            0.020856,            0.015573,          0.00054331,             0.82218,             0.79925,             0.84591,             0.55327,            0.016604,            0.011334,          0.00038693,            0.004456,            0.004456,            0.004456
